name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2020-01-01,84.2,77,80.2,100.8,77,84.8,77,90.2,2.257,100,25,rain,0,0,14.1,17.2,272.3,1012.1,71.5,3,78.8,6.6,3,,2020-01-01T05:41:41,2020-01-01T18:10:04,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-02,87.8,77,81.4,97.2,77,86,75.1,82,1.68,100,8.33,rain,0,0,21.3,9.2,274.9,1012.4,64,3.5,203.6,17.5,7,,2020-01-02T05:42:12,2020-01-02T18:10:30,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-03,87.3,77.5,82.4,98.5,77.5,89.2,75.9,81,0.123,100,8.33,rain,0,0,22.4,11.1,276.1,1010.5,58.2,3.9,176.1,15.3,6,,2020-01-03T05:42:43,2020-01-03T18:10:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-04,87.3,78.8,82.6,99.1,78.8,89.8,76.3,81.5,0.01,100,12.5,rain,0,0,23.5,12.1,293.8,1009,62,3.8,180.1,15.6,7,,2020-01-04T05:43:13,2020-01-04T18:11:19,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-05,84.5,77,80.8,94.4,77,85.7,76.4,86.8,0.623,100,12.5,rain,0,0,21,9,294.2,1009.2,68.9,3.5,150.7,13.1,7,,2020-01-05T05:43:44,2020-01-05T18:11:43,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-06,85.4,75.7,80.7,96,75.7,85.7,76.6,87.5,0.506,100,16.67,rain,0,0,19.5,11.4,276.8,1009.5,63.3,3.2,169.7,14.7,7,,2020-01-06T05:44:14,2020-01-06T18:12:06,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-07,87.3,77,81.3,98.5,77,86.6,76.3,85.3,0.299,100,12.5,rain,0,0,20.6,12.5,275.4,1008.8,60.2,3.5,180.8,15.6,6,,2020-01-07T05:44:44,2020-01-07T18:12:29,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-08,86.3,77.5,81.9,97.2,77.5,88,75.6,81.4,0.002,100,4.17,rain,0,0,22.4,15,290.4,1008.2,59.1,3.5,189.2,16.2,7,,2020-01-08T05:45:14,2020-01-08T18:12:50,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-09,84.8,77,80.8,94.4,77,86.1,76.2,86,1.409,100,20.83,rain,0,0,25.3,16.1,284.4,1008,70.9,3.3,133.8,11.7,6,,2020-01-09T05:45:44,2020-01-09T18:13:11,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-10,82.1,75.2,77.9,89.4,75.2,79.2,74.8,90.4,1.436,100,33.33,rain,0,0,17.4,17.2,273,1009.3,73.2,3.2,42.2,3.6,1,,2020-01-10T05:46:13,2020-01-10T18:13:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-11,87.8,75.2,80.1,95.7,75.2,84,74.6,84.1,0.167,100,12.5,rain,0,0,23,19.7,271.3,1009.4,64.4,3.7,106.5,9.1,4,,2020-01-11T05:46:42,2020-01-11T18:13:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-12,89.6,77,82.6,100.3,77,88.1,74.4,76.8,0,0,0,,0,0,26.4,11.4,269.1,1008.3,51.1,4.5,256.6,22.3,8,,2020-01-12T05:47:11,2020-01-12T18:14:10,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-13,87.3,77,81.9,100.8,77,87.7,75.5,81.4,0.098,100,12.5,rain,0,0,21,12,290.5,1008.1,63.7,3.9,226.7,19.3,9,,2020-01-13T05:47:39,2020-01-13T18:14:28,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-14,89.1,77,82.9,98.6,77,88.8,75.3,78.8,0.001,100,4.17,rain,0,0,17.4,15.2,329,1009.1,54.4,4.3,227.2,19.7,7,,2020-01-14T05:48:07,2020-01-14T18:14:45,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2020-01-15,87.9,77,81.8,99,77,87,75.7,82.3,1.336,100,8.33,rain,0,0,15,10.7,288.3,1009.8,59.3,3.7,238.4,20.6,9,,2020-01-15T05:48:35,2020-01-15T18:15:02,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-16,89.1,78.1,82.1,101.1,78.1,88.3,76.1,82.3,0.001,100,4.17,rain,0,0,14.8,15.2,316.5,1010.3,52.1,3.2,230.3,19.9,8,,2020-01-16T05:49:02,2020-01-16T18:15:17,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-17,89.1,77.5,83.4,101.1,77.5,90.9,76,79,0.001,100,4.17,rain,0,0,16.3,11.4,318.7,1010.4,51.7,3.6,260.8,22.5,9,,2020-01-17T05:49:28,2020-01-17T18:15:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-18,86.5,77,81.1,95.4,77,85,75.1,83.1,2.156,100,16.67,rain,0,0,15,9.2,275.5,1010.6,60.5,3.3,225.9,19.5,7,,2020-01-18T05:49:54,2020-01-18T18:15:45,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-19,89.1,76.3,83,101.1,76.3,89.5,75.5,78.8,0,0,0,,0,0,16.1,13.5,333.8,1010.4,49.5,3.5,231.8,19.9,8,,2020-01-19T05:50:20,2020-01-19T18:15:58,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-20,87.8,79.3,83.6,100.9,79.3,92.6,77.1,81.1,0.08,100,8.33,rain,0,0,17.4,9.2,331.4,1011,57,3.7,238,20.6,8,,2020-01-20T05:50:44,2020-01-20T18:16:10,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-21,87.8,77,82.3,100.8,77,89.7,76.9,84,0.031,100,4.17,rain,0,0,19.7,10.3,344.2,1011.9,55,3.8,225.6,19.4,7,,2020-01-21T05:51:09,2020-01-21T18:16:21,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-22,89.2,78.8,83.5,102.9,78.8,92.1,76.9,80.8,0.013,100,4.17,rain,0,0,14.1,7.9,325.3,1011.5,51.6,3.5,234.8,20.3,8,,2020-01-22T05:51:33,2020-01-22T18:16:31,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-23,89.6,78.8,83.4,100.9,78.8,92.3,77.4,82.6,3.188,100,12.5,rain,0,0,16.1,11.4,319,1010.3,53.9,3.5,231.2,19.9,8,,2020-01-23T05:51:56,2020-01-23T18:16:41,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-24,81.5,77,79.6,89.1,77,82,77.1,92.4,4.751,100,20.83,rain,0,0,19.7,8.2,324.1,1010.3,67.7,2.9,216.7,18.7,9,,2020-01-24T05:52:19,2020-01-24T18:16:49,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-25,84.3,77,79.9,94.5,77,84,76.9,90.8,0.557,100,20.83,rain,0,0,14.5,10.3,296.4,1010.5,75.1,3.2,55.1,4.8,2,,2020-01-25T05:52:41,2020-01-25T18:16:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-26,89.1,77,82.4,101.1,77,88.3,76.5,83.1,0,0,0,,0,0,15.4,12.5,357.2,1009.2,53.7,3.7,204.9,17.8,8,,2020-01-26T05:53:02,2020-01-26T18:17:03,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-27,88.9,77,82.3,98.2,77,87.8,75.4,80.3,0.535,100,12.5,rain,0,0,13.6,11.2,354.9,1009.4,63,3.9,215.9,18.6,8,,2020-01-27T05:53:23,2020-01-27T18:17:08,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-28,89.1,77.5,83.5,100.2,77.5,91.4,76.2,79.3,0.004,100,4.17,rain,0,0,14.3,12.8,342.6,1009.7,49.7,3.8,225.1,19.5,7,,2020-01-28T05:53:43,2020-01-28T18:17:13,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-29,90.3,78.8,84.4,105.2,78.8,93.4,77.2,79.9,0.002,100,4.17,rain,0,0,16.8,14.3,315.4,1010.3,46.2,3.8,239.9,20.8,9,,2020-01-29T05:54:02,2020-01-29T18:17:16,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-30,87.3,75.2,81.3,97,75.2,86.3,74.4,80.3,0.886,100,12.5,rain,0,0,16.6,17.2,298.3,1010.3,56.8,3.9,186.3,16.3,7,,2020-01-30T05:54:21,2020-01-30T18:17:19,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-01-31,85.5,79.3,82.5,97.1,79.3,90.2,76.7,82.9,0,0,0,,0,0,14.8,12.6,299.4,1010,55.8,3.4,146.1,12.6,7,,2020-01-31T05:54:39,2020-01-31T18:17:21,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
