name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2016-01-01,90.3,75.2,82.7,101.9,75.2,88.4,76.0,81.2,0.998,100,16.67,rain,0,0,15.0,14.5,312.2,1011.9,58.2,3.6,235.9,19.6,8,,2016-01-01T05:41:40,2016-01-01T18:10:03,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-02,89.1,76.8,80.9,101.8,76.8,84.9,76.0,85.6,0.585,100,16.67,rain,0,0,18.3,17.7,306.2,1012.5,68.0,3.5,182.9,15.8,7,,2016-01-02T05:42:11,2016-01-02T18:10:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-03,90.9,77.0,83.1,101.2,77.0,88.8,75.5,79.1,0.0,0,0.0,,0,0,17.0,11.1,292.7,1012.4,56.7,4.0,175.9,15.1,7,,2016-01-03T05:42:41,2016-01-03T18:10:54,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-04,89.1,78.8,83.4,101.3,78.8,91.8,76.8,80.9,0.0,0,0.0,,0,0,15.0,7.8,306.9,1012.4,61.8,3.6,192.5,16.5,8,,2016-01-04T05:43:12,2016-01-04T18:11:18,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-05,90.3,77.3,83.4,103.6,77.3,90.9,76.5,80.6,0.457,100,8.33,rain,0,0,14.5,11.4,10.7,1012.0,59.0,3.3,216.9,18.7,7,,2016-01-05T05:43:43,2016-01-05T18:11:42,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-06,90.9,77.0,83.5,103.3,77.0,89.3,75.0,76.4,0.011,100,4.17,rain,0,0,17.2,12.8,75.3,1012.3,48.3,3.6,222.2,19.1,8,,2016-01-06T05:44:13,2016-01-06T18:12:05,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-07,93.4,77.0,85.3,102.9,77.0,92.8,75.0,72.8,0.0,0,0.0,,0,0,16.6,15.8,46.7,1012.5,40.3,4.2,267.5,23.2,8,,2016-01-07T05:44:43,2016-01-07T18:12:27,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-08,92.1,79.3,85.6,104.3,79.3,94.6,76.1,74.3,0.0,0,0.0,,0,0,17.9,14.7,30.6,1011.7,45.2,3.9,253.2,22.1,9,,2016-01-08T05:45:13,2016-01-08T18:12:49,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-09,90.9,78.8,84.7,103.3,78.8,92.9,76.0,76.0,0.0,0,0.0,,0,0,17.4,15.7,328.8,1011.2,39.7,3.7,234.4,20.3,9,,2016-01-09T05:45:43,2016-01-09T18:13:10,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-10,90.9,77.0,84.2,100.5,77.0,91.5,75.2,75.3,0.001,100,4.17,rain,0,0,15.2,10.2,346.7,1011.7,45.9,3.6,215.1,18.5,7,,2016-01-10T05:46:12,2016-01-10T18:13:31,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2016-01-11,91.6,78.8,85.0,102.3,78.8,93.2,75.6,74.2,0.001,100,4.17,rain,0,0,15.9,9.1,267.6,1011.4,50.2,3.5,240.2,20.6,10,,2016-01-11T05:46:41,2016-01-11T18:13:50,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
