date,pm10,so2,co,o3,no2,max,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,cloudcover,uvindex,solarenergy,next_day_aqi,aqi_category,month,dayofweek,is_weekend,aqi_lag1,tempmax_lag1,humidity_lag1,aqi_lag3,rolling_aqi_3,rolling_tempmax_3,tempmax_x_humidity,wind_x_cloud,tempmax_category
2016-01-01,72.0,32.0,53.0,51.0,11.0,72.0,32.39,24.0,28.17,31.33,76.0,81.2,0.998,16.67,14.5,312.2,58.2,8,19.6,52.0,Moderate,1,4,False,,,,,,,2630.068,843.9000000000001,Hot
2016-01-02,52.0,32.0,29.0,50.0,12.0,52.0,31.72,24.89,27.17,29.39,76.0,85.6,0.585,16.67,17.7,306.2,68.0,7,15.8,50.0,Good,1,5,True,72.0,32.39,81.2,,,,2715.2319999999995,1203.6,Hot
2016-01-03,44.0,33.0,33.0,50.0,18.0,50.0,32.72,25.0,28.39,31.56,75.5,79.1,0.0,0.0,11.1,292.7,56.7,7,15.1,103.0,Unhealthy,1,6,True,52.0,31.72,85.6,,58.0,32.276666666666664,2588.1519999999996,629.37,Hot
2016-01-04,61.0,33.0,36.0,103.0,24.0,103.0,31.72,26.0,28.56,33.22,76.8,80.9,0.0,0.0,7.8,306.9,61.8,8,16.5,99.0,Moderate,1,0,False,50.0,32.72,79.1,72.0,68.33333333333333,32.053333333333335,2566.148,482.03999999999996,Hot
2016-01-05,99.0,33.0,54.0,67.0,22.0,99.0,32.39,25.17,28.56,32.72,76.5,80.6,0.457,8.33,11.4,10.7,59.0,7,18.7,75.0,Moderate,1,1,False,103.0,31.72,80.9,52.0,84.0,32.276666666666664,2610.634,672.6,Hot
2016-01-06,75.0,33.0,43.0,55.0,17.0,75.0,32.72,25.0,28.61,31.83,75.0,76.4,0.011,4.17,12.8,75.3,48.3,8,19.1,75.0,Moderate,1,2,False,99.0,32.39,80.6,50.0,92.33333333333333,32.276666666666664,2499.808,618.24,Hot
2016-01-07,75.0,33.0,31.0,70.0,13.0,75.0,34.11,25.0,29.61,33.78,75.0,72.8,0.0,0.0,15.8,46.7,40.3,8,23.2,62.0,Moderate,1,3,False,75.0,32.72,76.4,103.0,83.0,33.07333333333333,2483.208,636.74,Very Hot
2016-01-08,60.0,33.0,30.0,62.0,9.0,62.0,33.39,26.28,29.78,34.78,76.1,74.3,0.0,0.0,14.7,30.6,45.2,9,22.1,77.0,Moderate,1,4,False,75.0,34.11,72.8,99.0,70.66666666666667,33.406666666666666,2480.877,664.44,Hot
2016-01-09,77.0,33.0,34.0,68.0,9.0,77.0,32.72,26.0,29.28,33.83,76.0,76.0,0.0,0.0,15.7,328.8,39.7,9,20.3,86.0,Moderate,1,5,True,62.0,33.39,74.3,75.0,71.33333333333333,33.406666666666666,2486.72,623.29,Hot
2016-01-10,83.0,39.0,38.0,86.0,15.0,86.0,32.72,25.0,29.0,33.06,75.2,75.3,0.001,4.17,10.2,346.7,45.9,7,18.5,93.0,Moderate,1,6,True,77.0,32.72,76.0,75.0,75.0,32.943333333333335,2463.816,468.17999999999995,Hot
2016-01-11,82.0,38.0,36.0,93.0,14.0,93.0,33.11,26.0,29.44,34.0,75.6,74.2,0.001,4.17,9.1,267.6,50.2,10,20.6,72.0,Moderate,1,0,False,86.0,32.72,75.3,62.0,85.33333333333333,32.85,2456.762,456.82,Hot
